country,continent,required
Panama,NORTH AMERICA,No
Saint Kitts and Nevis,NORTH AMERICA,No
Saint Lucia,NORTH AMERICA,No
Saint Vincent and the Grenadines,NORTH AMERICA,No
Trinidad and Tobago,NORTH AMERICA,No
US,NORTH AMERICA,No
Australia,OCEANIA,No
Fiji,OCEANIA,No
Kiribati,OCEANIA,No
Marshall Islands,OCEANIA,No
Micronesia,OCEANIA,No
Nauru,OCEANIA,No
New Zealand,OCEANIA,No
Palau,OCEANIA,No
Papua New Guinea,OCEANIA,No
Samoa,OCEANIA,No
Solomon Islands,OCEANIA,No
Tonga,OCEANIA,No
Tuvalu,OCEANIA,No
Vanuatu,OCEANIA,No
Argentina,SOUTH AMERICA,No
Bolivia,SOUTH AMERICA,No
Brazil,SOUTH AMERICA,No
Chile,SOUTH AMERICA,No
Colombia,SOUTH AMERICA,No
Ecuador,SOUTH AMERICA,No
Guyana,SOUTH AMERICA,No
Paraguay,SOUTH AMERICA,No
Peru,SOUTH AMERICA,No
Suriname,SOUTH AMERICA,No
Uruguay,SOUTH AMERICA,No
Venezuela,SOUTH AMERICA,No
